id,grid_solution,steps
lgp-test-5x6-16,"{""header"": [""House"", ""Name"", ""Nationality"", ""Color""], ""rows"": [[""1"", ""`Peter`"", ""`Norwegian`"", ""`Red`""], [""2"", ""`Alice`"", ""`German`"", ""`Green`""], [""3"", ""`Bob`"", ""`Dane`"", ""`Blue`""], [""4"", ""`Eric`"", ""`Brit`"", ""`Yellow`""], [""5"", ""`Arnold`\n - The People Are Of Nationalities: `Norwegian`"", ""`Swede`\n - People Have Unique Favorite Book Genres: `Fantasy`"", ""`White`\n - The People Keep Unique Animals: `Bird`""]]}",16
lgp-test-4x4-27,,1
lgp-test-6x4-15,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""], [""6"", ""6""]]}",7
lgp-test-6x5-2,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""], [""5"", ""5""], [""6"", ""6""]]}",7
lgp-test-2x2-33,"{""header"": [""House"", ""Name"", ""Pet""], ""rows"": [[""1"", ""`Eric`"", ""`Dog`""], [""2"", ""`Arnold`\n - Each Person Has A Unique Type Of Pet: `Dog`"", ""`Cat`\n\n## Clues:\n1""]]}",5
lgp-test-4x4-3,"{""header"": [""House"", ""House""], ""rows"": [[""1"", ""1""], [""2"", ""2""], [""3"", ""3""], [""4"", ""4""]]}",5
lgp-test-2x4-5,"{""header"": [""House"", ""Name"", ""Color"", ""Flower""], ""rows"": [[""1"", ""`Eric`"", ""`Red`"", ""`Carnations`""], [""2"", ""`Arnold`\n - They All Have A Unique Favorite Flower: `Carnations`"", ""`Yellow`\n - People Have Unique Heights: `Very Short`"", ""`Daffodils`\n - Each Person Has A Favorite Color: `Red`""]]}",7
lgp-test-5x5-30,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Alice`"", ""`Yellow`""], [""2"", ""`Peter`"", ""`Green`""], [""3"", ""`Bob`"", ""`Blue`""], [""4"", ""`Eric`"", ""`Red`""], [""5"", ""`Arnold`\n - Each Person Has A Unique Level Of Education: `Master`"", ""`White`\n - Each Person Prefers A Unique Type Of Vacation: `Mountain`""]]}",11
lgp-test-3x5-34,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Peter`"", ""`White`""], [""2"", ""`Eric`"", ""`Red`""], [""3"", ""`Arnold`\n - Each Person Has A Favorite Color: `White`"", ""`Yellow`\n - People Use Unique Phone Models: `Google Pixel 6`""]]}",7
lgp-test-4x5-3,"{""header"": [""House"", ""Name"", ""Color""], ""rows"": [[""1"", ""`Arnold`"", ""`Green`""], [""2"", ""`Peter`"", ""`Red`""], [""3"", ""`Eric`"", ""`White`""], [""4"", ""`Alice`\n - The Mothers' Names In Different Houses Are Unique: `Holly`"", ""`Yellow`\n - Each Person Prefers A Unique Type Of Vacation: `Mountain`""]]}",9
lgp-test-2x6-24,"{""header"": [""House"", ""Name"", ""Nationality"", ""Pet"", ""Sport""], ""rows"": [[""1"", ""`Eric`"", ""`Dane`"", ""`Cat`"", ""`Soccer`""], [""2"", ""`Arnold`\n - Each Person Has A Unique Type Of Pet: `Cat`"", ""`Brit`\n - Each Person Has An Occupation: `Doctor`"", ""`Dog`\n - The People Are Of Nationalities: `Dane`"", ""`Basketball`\n - Everyone Has A Unique Favorite Cigar: `Prince`""]]}",9
